Шрифт	Начертание	Размер	Цвет	Подчеркивание	Цвет подчеркивания	Зачеркнутый	Двойное зачеркивание	Надстрочный	Подстрочный	Малые прописные	Все прописные	Выровнять высоту знаков	Сдвиг
Arial Black	курсив	4000	черный	одинаркное	белый	да	нет	нет	нет	нет	нет	нет	0
Monospace	обычный	20.5	белый	зигзаг	зеленый	нет	да	нет	да	нет	да	да	100
Serif	полужирный курсив	14	зеленый	двойное	черный	да	нет	нет	да	нет	да	нет	50
Monospace	полужирный	1	зеленый	нет	нет	нет	да	да	нет	да	нет	нет	-50
Arial Black	полужирный	1	черный	нет	нет	нет	нет	нет	да	нет	да	да	1
Monospace	обычный	14	белый	зигзаг	черный	да	нет	да	нет	да	нет	да	-1
Cursive	полужирный курсив	4000	белый	двойное	белый	нет	да	нет	да	да	нет	нет	1
Serif	курсив	20.5	черный	одинаркное	белый	нет	да	да	нет	нет	да	да	-1
Sans-serif	полужирный курсив	20.5	черный	двойное	зеленый	нет	да	да	нет	да	нет	нет	-100
Cursive	курсив	4000	зеленый	нет	нет	да	нет	нет	да	нет	да	да	100
Arial Black	курсив	1	зеленый	зигзаг	зеленый	да	нет	да	нет	нет	да	да	-100
Monospace	курсив	14	черный	одинаркное	черный	нет	да	нет	да	да	нет	да	50
Sans-serif	полужирный	20.5	белый	нет	нет	да	нет	нет	нет	нет	да	да	0
Arial Black	обычный	1	белый	двойное	черный	нет	да	да	нет	да	нет	нет	-1
Serif	полужирный	4000	белый	одинаркное	зеленый	да	нет	да	нет	да	нет	да	-50
Cursive	обычный	20.5	зеленый	одинаркное	черный	нет	да	да	нет	нет	нет	да	-100
Sans-serif	полужирный	14	черный	зигзаг	белый	нет	да	нет	да	да	нет	нет	100
Arial Black	полужирный курсив	4000	черный	двойное	черный	нет	да	нет	да	нет	нет	да	100
Sans-serif	обычный	4000	белый	нет	нет	да	нет	нет	да	нет	нет	да	50
Serif	полужирный курсив	14	зеленый	нет	нет	нет	да	нет	нет	да	нет	да	0
Cursive	полужирный курсив	1	черный	зигзаг	зеленый	нет	да	нет	нет	нет	да	да	0
Sans-serif	обычный	1	черный	одинаркное	черный	нет	да	да	нет	нет	да	нет	-50
Monospace	полужирный	4000	белый	двойное	белый	нет	да	да	нет	нет	нет	да	-100
Serif	курсив	14	белый	нет	нет	нет	да	да	нет	нет	нет	нет	-100
Cursive	курсив	14	зеленый	двойное	белый	нет	нет	да	нет	нет	да	нет	-50
Sans-serif	полужирный курсив	14	зеленый	одинаркное	зеленый	нет	да	да	нет	нет	нет	нет	-1
Arial Black	полужирный курсив	20.5	черный	зигзаг	белый	нет	да	да	нет	нет	да	да	-50
Serif	обычный	4000	зеленый	зигзаг	черный	нет	да	нет	да	нет	да	нет	1
Monospace	курсив	14	зеленый	одинаркное	зеленый	нет	да	нет	да	да	нет	да	1
Cursive	полужирный	4000	белый	нет	нет	нет	да	да	нет	нет	да	да	-1
Cursive	полужирный	1	зеленый	зигзаг	белый	да	нет	нет	да	нет	нет	да	50
Serif	обычный	1	белый	одинаркное	белый	нет	да	нет	да	нет	да	нет	100
Arial Black	курсив	14	белый	одинаркное	зеленый	нет	нет	нет	да	нет	нет	да	50
Sans-serif	полужирный	20.5	зеленый	одинаркное	черный	нет	да	нет	да	да	нет	да	1
Sans-serif	курсив	20.5	зеленый	двойное	черный	нет	да	нет	нет	нет	нет	нет	0
Monospace	полужирный курсив	4000	белый	одинаркное	черный	нет	да	нет	нет	нет	да	нет	0
Sans-serif	полужирный курсив	20.5	черный	зигзаг	белый	нет	нет	нет	да	нет	да	да	50
Cursive	полужирный	4000	белый	одинаркное	черный	да	нет	нет	да	нет	нет	да	1
Serif	обычный	14	белый	зигзаг	черный	нет	да	нет	нет	да	нет	да	0
